timestamp,T2M_toc,T2M_san,T2M_dav,weekend,holiday
2015-12-09 02:00:00,26.077844238281273,23.702844238281273,22.905969238281273,0,0
2015-12-09 03:00:00,26.031274414062523,23.632836914062523,22.843774414062523,0,0
2015-12-09 04:00:00,25.9814392089844,23.5830017089844,22.7626892089844,0,0
2015-12-09 05:00:00,25.964440917968773,23.534753417968773,22.730065917968773,0,0
2015-12-09 06:00:00,26.004327392578148,23.543389892578148,22.754327392578148,0,0
2015-12-09 07:00:00,26.811883544921898,25.061883544921898,23.108758544921898,0,0
2015-12-09 08:00:00,27.552453613281273,26.693078613281273,23.904016113281273,0,0
2015-12-09 09:00:00,28.199822998046898,28.043572998046898,24.809197998046898,0,0
2015-12-09 10:00:00,28.770104980468773,29.191979980468773,26.363854980468773,0,0
2015-12-09 11:00:00,29.261895751953148,30.121270751953148,27.738458251953148,0,0
2015-12-09 12:00:00,29.664117431640648,30.695367431640648,28.445367431640648,0,0
2015-12-09 13:00:00,29.810357666015648,30.982232666015648,28.747857666015648,0,0
2015-12-09 14:00:00,29.877465820312523,31.033715820312523,28.643090820312523,0,0
2015-12-09 15:00:00,29.807702636718773,30.713952636718773,28.057702636718773,0,0
2015-12-09 16:00:00,29.477990722656273,30.352990722656273,27.134240722656273,0,0
2015-12-09 17:00:00,28.818872070312523,29.068872070312523,26.037622070312523,0,0
2015-12-09 18:00:00,28.042749023437523,27.511499023437523,24.964624023437523,0,0
2015-12-09 19:00:00,27.596093750000023,26.799218750000023,24.478906250000023,0,0
2015-12-09 20:00:00,27.253686523437523,26.308374023437523,24.191186523437523,0,0
2015-12-09 21:00:00,26.986383056640648,25.861383056640648,23.955133056640648,0,0
2015-12-09 22:00:00,26.778100585937523,25.449975585937523,23.746850585937523,0,0
2015-12-09 23:00:00,26.624444580078148,25.069757080078148,23.561944580078148,0,0
2015-12-10 00:00:00,26.476922607421898,24.726922607421898,23.414422607421898,0,0
2015-12-10 01:00:00,26.368859863281273,24.431359863281273,23.243859863281273,0,0
2015-12-10 02:00:00,26.2871032714844,24.1933532714844,23.0605407714844,0,0
2015-12-10 03:00:00,26.217462158203148,24.006524658203148,22.920587158203148,0,0
2015-12-10 04:00:00,26.150262451171898,23.931512451171898,22.837762451171898,0,0
2015-12-10 05:00:00,26.068383789062523,23.904321289062523,22.779321289062523,0,0
2015-12-10 06:00:00,26.033410644531273,23.947473144531273,22.744348144531273,0,0
2015-12-10 07:00:00,26.855157470703148,25.183282470703148,23.331719970703148,0,0
2015-12-10 08:00:00,27.638330078125023,26.583642578125023,24.536767578125023,0,0
2015-12-10 09:00:00,28.267449951171898,28.111199951171898,26.095574951171898,0,0
2015-12-10 10:00:00,28.723718261718773,29.270593261718773,27.520593261718773,0,0
2015-12-10 11:00:00,29.100671386718773,30.116296386718773,28.460046386718773,0,0
2015-12-10 12:00:00,29.3813415527344,30.6469665527344,29.0375915527344,0,0
2015-12-10 13:00:00,29.691766357421898,30.863641357421898,29.129266357421898,0,0
2015-12-10 14:00:00,29.878503417968773,30.847253417968773,28.675378417968773,0,0
2015-12-10 15:00:00,29.881768798828148,30.506768798828148,27.866143798828148,0,0
2015-12-10 16:00:00,29.708337402343773,30.052087402343773,26.848962402343773,0,0
2015-12-10 17:00:00,29.069909667968773,28.944909667968773,25.866784667968773,0,0
2015-12-10 18:00:00,28.157067871093773,27.688317871093773,25.086755371093773,0,0
2015-12-10 19:00:00,27.647302246093773,27.162927246093773,24.756677246093773,0,0
2015-12-10 20:00:00,27.261315917968773,26.784753417968773,24.495690917968773,0,0
2015-12-10 21:00:00,26.991845703125023,26.452783203125023,24.257470703125023,0,0
2015-12-10 22:00:00,26.759118652343773,26.071618652343773,24.040368652343773,0,0
2015-12-10 23:00:00,26.553796386718773,25.749108886718773,23.858483886718773,0,0
2015-12-11 00:00:00,26.374658203125023,25.468408203125023,23.671533203125023,0,0
2015-12-11 01:00:00,26.253625488281273,25.222375488281273,23.464562988281273,0,0
2015-12-11 02:00:00,26.168389892578148,24.996514892578148,23.293389892578148,0,0
2015-12-11 03:00:00,26.100488281250023,24.803613281250023,23.178613281250023,0,0
2015-12-11 04:00:00,26.030633544921898,24.616571044921898,23.093133544921898,0,0
2015-12-11 05:00:00,25.972802734375023,24.457177734375023,23.004052734375023,0,0
2015-12-11 06:00:00,26.007440185546898,24.405877685546898,22.905877685546898,0,0
2015-12-11 07:00:00,26.931512451171898,25.814324951171898,23.369012451171898,0,0
2015-12-11 08:00:00,27.815118408203148,27.135430908203148,24.557305908203148,0,0
2015-12-11 09:00:00,28.449853515625023,28.449853515625023,25.957666015625023,0,0
2015-12-11 10:00:00,29.063989257812523,29.517114257812523,27.267114257812523,0,0
2015-12-11 11:00:00,29.643975830078148,30.393975830078148,28.222100830078148,0,0
2015-12-11 12:00:00,30.039666748046898,30.977166748046898,28.758416748046898,0,0
2015-12-11 13:00:00,30.280480957031273,31.264855957031273,28.999230957031273,0,0
2015-12-11 14:00:00,30.3635192871094,31.2697692871094,29.0041442871094,0,0
2015-12-11 15:00:00,30.320733642578148,30.898858642578148,28.601983642578148,0,0
2015-12-11 16:00:00,30.0766540527344,30.2172790527344,27.8110290527344,0,0
2015-12-11 17:00:00,29.351525878906273,28.960900878906273,26.757775878906273,0,0
2015-12-11 18:00:00,28.301599121093773,27.426599121093773,25.692224121093773,0,0
2015-12-11 19:00:00,27.755670166015648,26.818170166015648,25.044732666015648,0,0
2015-12-11 20:00:00,27.347711181640648,26.324273681640648,24.636773681640648,0,0
2015-12-11 21:00:00,27.113671875000023,25.840234375000023,24.348046875000023,0,0
2015-12-11 22:00:00,26.940789794921898,25.409539794921898,24.159539794921898,0,0
2015-12-11 23:00:00,26.800439453125023,25.089501953125023,24.019189453125023,0,0
2015-12-12 00:00:00,26.706750488281273,24.816125488281273,23.855187988281273,1,0
2015-12-12 01:00:00,26.680688476562523,24.711938476562523,23.719750976562523,1,0
2015-12-12 02:00:00,26.631066894531273,24.724816894531273,23.599816894531273,1,0
2015-12-12 03:00:00,26.572686767578148,24.705499267578148,23.486749267578148,1,0
2015-12-12 04:00:00,26.532067871093773,24.664880371093773,23.399255371093773,1,0
2015-12-12 05:00:00,26.480401611328148,24.597589111328148,23.339776611328148,1,0
2015-12-12 06:00:00,26.475915527343773,24.546228027343773,23.280603027343773,1,0
2015-12-12 07:00:00,27.035546875000023,25.598046875000023,23.613671875000023,1,0
2015-12-12 08:00:00,27.745568847656273,26.761193847656273,24.511193847656273,1,0
2015-12-12 09:00:00,28.4011169433594,27.7917419433594,25.7214294433594,1,0
2015-12-12 10:00:00,29.033868408203148,28.690118408203148,26.955743408203148,1,0
2015-12-12 11:00:00,29.665429687500023,29.696679687500023,27.977929687500023,1,0
2015-12-12 12:00:00,30.075311279296898,30.465936279296898,28.450311279296898,1,0
2015-12-12 13:00:00,30.299340820312523,30.939965820312523,28.330590820312523,1,0
2015-12-12 14:00:00,30.4023376464844,30.8554626464844,27.8710876464844,1,0
2015-12-12 15:00:00,30.402673339843773,30.496423339843773,27.183923339843773,1,0
2015-12-12 16:00:00,30.158135986328148,30.080010986328148,26.533135986328148,1,0
2015-12-12 17:00:00,29.384240722656273,29.040490722656273,25.931115722656273,1,0
2015-12-12 18:00:00,28.354180908203148,27.635430908203148,25.307305908203148,1,0
2015-12-12 19:00:00,27.796533203125023,27.015283203125023,24.905908203125023,1,0
2015-12-12 20:00:00,27.472924804687523,26.551049804687523,24.551049804687523,1,0
2015-12-12 21:00:00,27.275781250000023,26.150781250000023,24.299218750000023,1,0
2015-12-12 22:00:00,27.104577636718773,25.799890136718773,24.104577636718773,1,0
2015-12-12 23:00:00,26.9509216308594,25.4665466308594,23.9352966308594,1,0
2015-12-13 00:00:00,26.835137939453148,25.186700439453148,23.796075439453148,1,0
2015-12-13 01:00:00,26.748162841796898,24.943475341796898,23.662225341796898,1,0
2015-12-13 02:00:00,26.633142089843773,24.742517089843773,23.508142089843773,1,0
2015-12-13 03:00:00,26.5466247558594,24.5778747558594,23.3825622558594,1,0
2015-12-13 04:00:00,26.469934082031273,24.454309082031273,23.258996582031273,1,0
2015-12-13 05:00:00,26.393273925781273,24.377648925781273,23.151086425781273,1,0
2015-12-13 06:00:00,26.357476806640648,24.380914306640648,23.076226806640648,1,0
2015-12-13 07:00:00,27.116540527343773,25.952478027343773,23.452478027343773,1,0
2015-12-13 08:00:00,27.881188964843773,27.740563964843773,24.373376464843773,1,0
2015-12-13 09:00:00,28.521386718750023,28.677636718750023,25.443261718750023,1,0
2015-12-13 10:00:00,29.146630859375023,29.631005859375023,26.974755859375023,1,0
