stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M410,h1_w0_one_hot_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9587247052437853,57.379517844007836,11
Calendar + Context only Weather Search,M411,h1_w0_cyclic_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9719702366828358,58.119471957129036,6
Calendar + Context only Weather Search,M412,h1_w1_none_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.824615782914717,55.644841041388794,5
Calendar + Context only Weather Search,M413,h1_w1_integer_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.855025598681643,55.930798518495564,6
Calendar + Context only Weather Search,M414,h1_w1_one_hot_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9147424185110125,56.5018433489079,12
Calendar + Context only Weather Search,M415,h1_w1_cyclic_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9112645125851064,57.097956100673535,7
Calendar + Context only Weather Search,M416,h0_w0_none_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.955016904951512,57.832538708756,4
Calendar + Context only Weather Search,M417,h0_w0_integer_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.9611419737668556,57.49908839530701,5
Calendar + Context only Weather Search,M418,h0_w0_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",4.013457697909192,58.20021907519788,11
Calendar + Context only Weather Search,M419,h0_w0_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",4.089545475142755,60.02694091933505,6
Calendar + Context only Weather Search,M420,h0_w1_none_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.931280394798038,57.39040623251542,5
Calendar + Context only Weather Search,M421,h0_w1_integer_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.9472253626211815,57.47161302628137,6
