stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M461,h1_w1_integer_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.8305544170738357,26.5636495146928,7
Calendar + Context only Weather Search,M462,h1_w1_one_hot_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.902173124641333,27.368032402951087,13
Calendar + Context only Weather Search,M463,h1_w1_cyclic_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.795772402530217,26.519547794757926,8
Calendar + Context only Weather Search,M464,h0_w0_none_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.167245307426942,30.062260268078614,4
Calendar + Context only Weather Search,M465,h0_w0_integer_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.1940898623214804,29.75657124551732,5
Calendar + Context only Weather Search,M466,h0_w0_one_hot_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.0362993800919456,28.580042586785865,11
Calendar + Context only Weather Search,M467,h0_w0_cyclic_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9855763089890375,28.43245258520774,6
Calendar + Context only Weather Search,M468,h0_w1_none_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.8368756165605493,26.7667825738155,5
Calendar + Context only Weather Search,M469,h0_w1_integer_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.987091880025763,27.83402611325155,6
Calendar + Context only Weather Search,M470,h0_w1_one_hot_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.982552770265612,28.019083451616833,12
Calendar + Context only Weather Search,M471,h0_w1_cyclic_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.8942891456038695,27.368942470833318,7
Calendar + Context only Weather Search,M472,h1_w0_none_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9991178452592058,28.40637926237619,5
Calendar + Context only Weather Search,M473,h1_w0_integer_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9974105913976508,28.06473826821528,6
Calendar + Context only Weather Search,M474,h1_w0_one_hot_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.978087725115497,28.06036258590325,12
