stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M621,h1_w1_integer_ws_temperature_2m_pressure_msl,"('holiday', 'weekend', 'dow', 'temperature_2m', 'pressure_msl')","('holiday', 'weekend', 'dow', 'temperature_2m', 'pressure_msl')",3.622852254221234,52.309992527464125,5
Calendar + Oracle Weather Search,M622,h1_w1_one_hot_ws_temperature_2m_pressure_msl,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')",3.6636483158657853,52.855280885778164,11
Calendar + Oracle Weather Search,M623,h1_w1_cyclic_ws_temperature_2m_pressure_msl,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')",3.6941523797677105,53.73546523410602,6
Calendar + Oracle Weather Search,M624,h0_w0_none_ws_temperature_2m_wind_speed_10m,"('temperature_2m', 'wind_speed_10m')","('temperature_2m', 'wind_speed_10m')",3.8853683040899223,56.5434206390293,2
Calendar + Oracle Weather Search,M625,h0_w0_integer_ws_temperature_2m_wind_speed_10m,"('dow', 'temperature_2m', 'wind_speed_10m')","('dow', 'temperature_2m', 'wind_speed_10m')",3.894256584153337,55.689707145313875,3
Calendar + Oracle Weather Search,M626,h0_w0_one_hot_ws_temperature_2m_wind_speed_10m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')",3.7591008755398967,54.40387559463467,9
Calendar + Oracle Weather Search,M627,h0_w0_cyclic_ws_temperature_2m_wind_speed_10m,"('dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')","('dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')",3.945336550472323,57.65116212732937,4
Calendar + Oracle Weather Search,M628,h0_w1_none_ws_temperature_2m_wind_speed_10m,"('weekend', 'temperature_2m', 'wind_speed_10m')","('weekend', 'temperature_2m', 'wind_speed_10m')",3.728549971228849,53.627741306436874,3
Calendar + Oracle Weather Search,M629,h0_w1_integer_ws_temperature_2m_wind_speed_10m,"('weekend', 'dow', 'temperature_2m', 'wind_speed_10m')","('weekend', 'dow', 'temperature_2m', 'wind_speed_10m')",3.7772369383300086,54.228948015527955,4
Calendar + Oracle Weather Search,M630,h0_w1_one_hot_ws_temperature_2m_wind_speed_10m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')",3.7031439225758143,53.37893876610784,10
Calendar + Oracle Weather Search,M631,h0_w1_cyclic_ws_temperature_2m_wind_speed_10m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')",3.823726686264266,55.53783960164344,5
Calendar + Oracle Weather Search,M632,h1_w0_none_ws_temperature_2m_wind_speed_10m,"('holiday', 'temperature_2m', 'wind_speed_10m')","('holiday', 'temperature_2m', 'wind_speed_10m')",3.725209358023015,53.91119308364302,3
Calendar + Oracle Weather Search,M633,h1_w0_integer_ws_temperature_2m_wind_speed_10m,"('holiday', 'dow', 'temperature_2m', 'wind_speed_10m')","('holiday', 'dow', 'temperature_2m', 'wind_speed_10m')",3.7233379426433557,53.64186178306726,4
