stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M554,h1_w0_one_hot_ws_pressure_msl,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')",3.0032460847553377,28.273424145347384,9
Calendar + Oracle Weather Search,M555,h1_w0_cyclic_ws_pressure_msl,"('holiday', 'dow_sin', 'dow_cos', 'pressure_msl')","('holiday', 'dow_sin', 'dow_cos', 'pressure_msl')",3.003585105383765,28.33948891463824,4
Calendar + Oracle Weather Search,M556,h1_w1_none_ws_pressure_msl,"('holiday', 'weekend', 'pressure_msl')","('holiday', 'weekend', 'pressure_msl')",2.7583451326974218,25.773039030481424,3
Calendar + Oracle Weather Search,M557,h1_w1_integer_ws_pressure_msl,"('holiday', 'weekend', 'dow', 'pressure_msl')","('holiday', 'weekend', 'dow', 'pressure_msl')",2.9073053652921788,26.914203071259436,4
Calendar + Oracle Weather Search,M558,h1_w1_one_hot_ws_pressure_msl,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')",2.9145105540660654,27.322609670877576,10
Calendar + Oracle Weather Search,M559,h1_w1_cyclic_ws_pressure_msl,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'pressure_msl')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'pressure_msl')",2.8758677066671523,26.763742703625766,5
Calendar + Oracle Weather Search,M560,h0_w0_none_ws_wind_speed_10m,"('wind_speed_10m',)","('wind_speed_10m',)",3.208109052550178,30.24848496035802,1
Calendar + Oracle Weather Search,M561,h0_w0_integer_ws_wind_speed_10m,"('dow', 'wind_speed_10m')","('dow', 'wind_speed_10m')",3.4449174364347215,31.76833589493527,2
Calendar + Oracle Weather Search,M562,h0_w0_one_hot_ws_wind_speed_10m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')",2.984282286204122,28.12373432616169,8
Calendar + Oracle Weather Search,M563,h0_w0_cyclic_ws_wind_speed_10m,"('dow_sin', 'dow_cos', 'wind_speed_10m')","('dow_sin', 'dow_cos', 'wind_speed_10m')",3.005488808700538,28.492936918238005,3
Calendar + Oracle Weather Search,M564,h0_w1_none_ws_wind_speed_10m,"('weekend', 'wind_speed_10m')","('weekend', 'wind_speed_10m')",2.8480058442066816,26.585969066951066,2
Calendar + Oracle Weather Search,M565,h0_w1_integer_ws_wind_speed_10m,"('weekend', 'dow', 'wind_speed_10m')","('weekend', 'dow', 'wind_speed_10m')",3.021172098766135,27.999711025980222,3
Calendar + Oracle Weather Search,M566,h0_w1_one_hot_ws_wind_speed_10m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')",2.9256786503961423,27.463758900052277,9
Calendar + Oracle Weather Search,M567,h0_w1_cyclic_ws_wind_speed_10m,"('weekend', 'dow_sin', 'dow_cos', 'wind_speed_10m')","('weekend', 'dow_sin', 'dow_cos', 'wind_speed_10m')",2.9385631217571206,27.508171198788187,4
Calendar + Oracle Weather Search,M568,h1_w0_none_ws_wind_speed_10m,"('holiday', 'wind_speed_10m')","('holiday', 'wind_speed_10m')",2.975089407960455,28.041962094667408,2
Calendar + Oracle Weather Search,M569,h1_w0_integer_ws_wind_speed_10m,"('holiday', 'dow', 'wind_speed_10m')","('holiday', 'dow', 'wind_speed_10m')",3.108186657924433,28.968349135668742,3
Calendar + Oracle Weather Search,M570,h1_w0_one_hot_ws_wind_speed_10m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'wind_speed_10m')",2.959991247542892,27.903418025811188,9
